OBJECTID,ROUTE_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,SCHEDULE_START,SCHEDULE_END,SHAPE_Length
1,1,001,HIGHWAY 7,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,79776.3610083475
2,2,002,MILLIKEN,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,168875.804656596
3,3,003,THORNHILL,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,97774.4269575765
4,4,004,MAJOR MACKENZIE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,74623.1341732884
5,5,005,CLARK,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,46500.2018894224
6,7,007,MARTIN GROVE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,77234.9660328575
7,8,008,KENNEDY,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,51658.3863400214
8,9,009,NINTH LINE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,53160.6781984491
9,10,010,WOODBRIDGE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,19747.0053799517
10,12,012,PINE VALLEY,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,22065.9092447113
11,13,013,ISLINGTON,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,25459.6209152379
12,14,014,14TH AVENUE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,82457.1290907997
13,16,016,16TH AVENUE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,68720.4113700441
14,18,018,BUR OAK,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,28373.4515523134
15,20,020,JANE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,37799.8261662032
16,21,021,VELLORE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,28819.9906504725
17,23,023,THORNHILL WOODS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,53555.9848361525
18,24,024,WOODBINE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,131934.927360976
19,25,025,MAJOR MACKENZIE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,62693.6655960937
20,26,026,MAPLE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,33842.3244512396
21,32,032,AURORA SOUTH,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,48726.0275297417
22,33,033,WELLINGTON - LESLIE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,29980.4591412513
23,40,040,UNIONVILLE LOCAL,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,26039.226924666
24,44,044,BRISTOL,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,10561.7909024906
25,50,050,QUEENSWAY,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,97932.3641600422
26,51,051,KESWICK,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,20377.5515564775
27,52,052,HOLLAND LANDING,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,63715.3798498713
28,54,054,BAYVIEW,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,23051.5523356469
29,55,055,DAVIS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,20956.3866127473
30,56,056,GORHAM - EAGLE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,30571.7530898034
31,57,057,MULOCK,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,26738.4105331565
32,77,077,HIGHWAY 7,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,131441.076151481
33,80,080,ELGIN MILLS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,20272.4389773239
34,81,081,INSPIRATION,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,56573.8717952534
35,82,082,VALLEYMEDE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,62193.3704883784
36,83,083,TRENCH,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,117666.051085539
37,8301,083A,TRENCH,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,20825.0441367632
38,85,085,RUTHERFORD,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,195404.405413658
39,86,086,NEWKIRK - RED MAPLE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,122741.786894356
40,87,087,AUTUMN HILL,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,24022.7561047033
41,88,088,BATHURST,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,114082.251952744
42,90,090,LESLIE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,60939.1312978474
43,9002,090B,LESLIE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,65865.9997865302
44,91,091,BAYVIEW,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,31616.1611414181
45,9101,091A,BAYVIEW,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,41862.2501046523
46,9102,091B,BAYVIEW,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,69496.6722755233
47,96,096,KEELE - YONGE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,152049.025090906
48,98,098,YONGE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,43706.6060026986
49,9899,098|099,YONGE (LATE NIGHT),2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,103791.066296365
50,99,099,YONGE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,34761.6519476237
51,105,105,DUFFERIN,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,70840.472682666
52,107,107,KEELE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,33588.8330950846
53,10702,107B,KEELE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,22473.5700894782
54,165,165,WESTON,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,26679.1173306868
